# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000104,-0.000000,-0.000000,-0.014696,-0.003565,0.003937,0.001474,-0.000604,0.299998,0.000000,0.000000,0.169166,0.055542,-0.031319,-0.024413,0.008683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.035679,-0.002998,0.067700,0.040809,0.012995,-0.013942,-0.001929,0.001537,0.948733,0.617825,-0.211524,-0.167665,-0.126736,0.041143,0.079671,-0.027028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.300016,0.352729,0.031917,0.002578,-0.097778,-0.060023,0.082675,-0.019134,0.900022,-0.038793,0.677059,-0.127276,-0.219857,-0.151306,0.194271,-0.044310,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.539541,-0.128088,0.067985,0.060740,0.025557,-0.007452,-0.036537,0.013587,1.030852,-0.424581,-0.081989,-0.021985,-0.043113,0.013910,0.063551,-0.025231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
